Period,Value
Jan-1992, 3657
Feb-1992, 3490
Mar-1992, 3669
Apr-1992, 3527
May-1992, 3571
Jun-1992, 3788
Jul-1992, 3930
Aug-1992, 3817
Sep-1992, 3795
Oct-1992, 4014
Nov-1992, 4419
Dec-1992, 7014
Jan-1993, 4105
Feb-1993, 3735
Mar-1993, 4159
Apr-1993, 3974
May-1993, 4023
Jun-1993, 4334
Jul-1993, 4447
Aug-1993, 4406
Sep-1993, 4393
Oct-1993, 4460
Nov-1993, 5153
Dec-1993, 7943
Jan-1994, 4508
Feb-1994, 4251
Mar-1994, 4804
Apr-1994, 4520
May-1994, 4656
Jun-1994, 5047
Jul-1994, 5000
Aug-1994, 5205
Sep-1994, 5128
Oct-1994, 5319
Nov-1994, 6271
Dec-1994, 9661
Jan-1995, 5480
Feb-1995, 5005
Mar-1995, 5574
Apr-1995, 5016
May-1995, 5438
Jun-1995, 5688
Jul-1995, 5565
Aug-1995, 5993
Sep-1995, 5742
Oct-1995, 5833
Nov-1995, 6839
Dec-1995, 10206
Jan-1996, 5826
Feb-1996, 5598
Mar-1996, 6009
Apr-1996, 5615
May-1996, 5914
Jun-1996, 5897
Jul-1996, 5891
Aug-1996, 6258
Sep-1996, 5936
Oct-1996, 6074
Nov-1996, 6928
Dec-1996, 10114
Jan-1997, 5809
Feb-1997, 5555
Mar-1997, 6004
Apr-1997, 5681
May-1997, 5894
Jun-1997, 5976
Jul-1997, 6218
Aug-1997, 6417
Sep-1997, 6106
Oct-1997, 6171
Nov-1997, 7072
Dec-1997, 10754
Jan-1998, 6471
Feb-1998, 6002
Mar-1998, 6415
Apr-1998, 5947
May-1998, 6214
Jun-1998, 6478
Jul-1998, 6661
Aug-1998, 6927
Sep-1998, 6460
Oct-1998, 6468
Nov-1998, 7427
Dec-1998, 11261
Jan-1999, 6636
Feb-1999, 6265
Mar-1999, 6824
Apr-1999, 6303
May-1999, 6572
Jun-1999, 6805
Jul-1999, 7053
Aug-1999, 7135
Sep-1999, 6869
Oct-1999, 6778
Nov-1999, 7872
Dec-1999, 12251
Jan-2000, 7202
Feb-2000, 7137
Mar-2000, 7377
Apr-2000, 6711
May-2000, 6979
Jun-2000, 6952
Jul-2000, 6909
Aug-2000, 7395
Sep-2000, 7011
Oct-2000, 6763
Nov-2000, 7998
Dec-2000, 11988
Jan-2001, 7022
Feb-2001, 6579
Mar-2001, 6984
Apr-2001, 6137
May-2001, 6536
Jun-2001, 6782
Jul-2001, 6758
Aug-2001, 7276
Sep-2001, 6470
Oct-2001, 6687
Nov-2001, 8390
Dec-2001, 12872
Jan-2002, 7193
Feb-2002, 6825
Mar-2002, 7252
Apr-2002, 6512
May-2002, 7056
Jun-2002, 7089
Jul-2002, 7045
Aug-2002, 7550
Sep-2002, 6775
Oct-2002, 6950
Nov-2002, 8352
Dec-2002, 12609
Jan-2003, 7022
Feb-2003, 6552
Mar-2003, 6893
Apr-2003, 6354
May-2003, 6958
Jun-2003, 7076
Jul-2003, 7221
Aug-2003, 7851
Sep-2003, 7213
Oct-2003, 7377
Nov-2003, 8817
Dec-2003, 13516
Jan-2004, 7626
Feb-2004, 7409
Mar-2004, 7662
Apr-2004, 7059
May-2004, 7483
Jun-2004, 7749
Jul-2004, 7828
Aug-2004, 8210
Sep-2004, 7723
Oct-2004, 7713
Nov-2004, 9437
Dec-2004, 14114
Jan-2005, 7965
Feb-2005, 7897
Mar-2005, 8310
Apr-2005, 7576
May-2005, 7950
Jun-2005, 8219
Jul-2005, 8211
Aug-2005, 8788
Sep-2005, 8212
Oct-2005, 8215
Nov-2005, 10005
Dec-2005, 14774
Jan-2006, 8775
Feb-2006, 8236
Mar-2006, 8680
Apr-2006, 7790
May-2006, 8374
Jun-2006, 8509
Jul-2006, 8451
Aug-2006, 9051
Sep-2006, 8370
Oct-2006, 8058
Nov-2006, 10339
Dec-2006, 15458
Jan-2007, 8712
Feb-2007, 8293
Mar-2007, 8521
Apr-2007, 7657
May-2007, 8381
Jun-2007, 8400
Jul-2007, 8443
Aug-2007, 9209
Sep-2007, 8275
Oct-2007, 8345
Nov-2007, 10948
Dec-2007, 15157
Jan-2008, 8680
Feb-2008, 8709
Mar-2008, 8529
Apr-2008, 7958
May-2008, 8834
Jun-2008, 8635
Jul-2008, 8807
Aug-2008, 9017
Sep-2008, 8047
Oct-2008, 7789
Nov-2008, 9934
Dec-2008, 13445
Jan-2009, 8404
Feb-2009, 8128
Mar-2009, 7597
Apr-2009, 6930
May-2009, 7320
Jun-2009, 7573
Jul-2009, 7543
Aug-2009, 7832
Sep-2009, 7248
Oct-2009, 7073
Nov-2009, 9431
Dec-2009, 12820
Jan-2010, 7639
Feb-2010, 7854
Mar-2010, 7773
Apr-2010, 7162
May-2010, 7613
Jun-2010, 7974
Jul-2010, 7960
Aug-2010, 8137
Sep-2010, 7654
Oct-2010, 7323
Nov-2010, 9485
Dec-2010, 13015
Jan-2011, 7585
Feb-2011, 7788
Mar-2011, 8197
Apr-2011, 7335
May-2011, 7625
Jun-2011, 7874
Jul-2011, 8035
Aug-2011, 8460
Sep-2011, 7771
Oct-2011, 7898
Nov-2011, 10193
Dec-2011, 13217
Jan-2012, 7832
Feb-2012, 8256
Mar-2012, 8507
Apr-2012, 7241
May-2012, 7955
Jun-2012, 8009
Jul-2012, 8190
Aug-2012, 8474
Sep-2012, 7826
Oct-2012, 7657
Nov-2012, 10401
Dec-2012, 13534
Jan-2013, 8168
Feb-2013, 8261
Mar-2013, 8286
Apr-2013, 7358
May-2013, 7891
Jun-2013, 7867
Jul-2013, 8063
Aug-2013, 8401
Sep-2013, 7851
Oct-2013, 8028
Nov-2013, 10345
Dec-2013, 12992
Jan-2014, 7878
Feb-2014, 7858
Mar-2014, 8164
Apr-2014, 7203
May-2014, 7667
Jun-2014, 7590
Jul-2014, 7884
Aug-2014, 8176
Sep-2014, 8178
Oct-2014, 8063
Nov-2014, 10679
Dec-2014, 13504
Jan-2015, 7984
Feb-2015, 7701
Mar-2015, 7871
Apr-2015, 7101
May-2015, 7616
Jun-2015, 7913
Jul-2015, 7870
Aug-2015, 8057
Sep-2015, 7970
Oct-2015, 7790
Nov-2015, 9925
Dec-2015, 12377
Jan-2016, 7255
Feb-2016, 7477
Mar-2016, 7563
Apr-2016, 6729
May-2016, 7203
Jun-2016, 7366
Jul-2016, 7412
Aug-2016, 7855
Sep-2016, 7415
Oct-2016, 7057
Nov-2016, 9201
Dec-2016, 11430
Jan-2017, 7034
Feb-2017, 6718
Mar-2017, 7495
Apr-2017, 6673
May-2017, 7156
Jun-2017, 7227
Jul-2017, 7073
Aug-2017, 7469
Sep-2017, 7294
Oct-2017, 7168
Nov-2017, 9704
Dec-2017, 11413
Jan-2018, 7287
Feb-2018, 6970
Mar-2018, 7577
Apr-2018, 6833
May-2018, 7399
Jun-2018, 7505
Jul-2018, 7386
Aug-2018, 7871
Sep-2018, 7292
Oct-2018, 7355
Nov-2018, 9593
Dec-2018, 11037
Jan-2019, 7197
Feb-2019, 6599
Mar-2019, 7229
Apr-2019, 6532
May-2019, 7161
Jun-2019, 7026
Jul-2019, 7213
Aug-2019, 7556
Sep-2019, 7152
Oct-2019, 7116
Nov-2019, 9261
Dec-2019, 10892
Jan-2020, 7063
Feb-2020, 6659
Mar-2020, 5778
Apr-2020, 3013
May-2020, 3914
Jun-2020, 5583
Jul-2020, 6478
Aug-2020, 6765
Sep-2020, 6383
Oct-2020, 6781
Nov-2020, 8194
Dec-2020, 9367
Jan-2021, 6843
Feb-2021, 6121
Mar-2021, 7875
Apr-2021, 7346
May-2021, 7501
Jun-2021, 7891
Jul-2021, 7920
Aug-2021, 7854
Sep-2021, 7548
Oct-2021, 7896
Nov-2021, 8940
Dec-2021, 10446
Jan-2022, 6718
Feb-2022, 6426
Mar-2022, 7627
Apr-2022, 7080
May-2022, 7072
Jun-2022, 7000
Jul-2022, 7015
Aug-2022, 7397
Sep-2022, 6878
Oct-2022,NA
Nov-2022,NA
Dec-2022,NA
